Id,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
127,Pinsir,Bug,,500,65,125,100,55,70,85,1,False
65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False
434,Stunky,Poison,Dark,329,63,63,47,41,41,74,4,False
492,ShayminSky Forme,Grass,Flying,600,100,103,75,120,75,127,4,True
295,Exploud,Normal,,490,104,91,63,91,73,68,3,False
388,Grotle,Grass,,405,75,89,85,55,65,36,4,False
65,AlakazamMega Alakazam,Psychic,,590,55,50,65,175,95,150,1,False
531,AudinoMega Audino,Normal,Fairy,545,103,60,126,80,126,50,5,False
582,Vanillite,Ice,,305,36,50,50,65,60,44,5,False
341,Corphish,Water,,308,43,80,65,50,35,35,3,False
33,Nidorino,Poison,,365,61,72,57,55,55,65,1,False
615,Cryogonal,Ice,,485,70,50,30,95,135,105,5,False
535,Tympole,Water,,294,50,50,40,50,40,64,5,False
204,Pineco,Bug,,290,50,65,90,35,35,15,2,False
201,Unown,Psychic,,336,48,72,48,72,48,48,2,False
290,Nincada,Bug,Ground,266,31,45,90,30,30,40,3,False
347,Anorith,Rock,Bug,355,45,95,50,40,50,75,3,False
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False
485,Heatran,Fire,Steel,600,91,90,106,130,106,77,4,True
244,Entei,Fire,,580,115,115,85,90,75,100,2,True
438,Bonsly,Rock,,290,50,80,95,10,45,10,4,False
95,Onix,Rock,Ground,385,35,45,160,30,45,70,1,False
646,Kyurem,Dragon,Ice,660,125,130,90,130,90,95,5,True
635,Hydreigon,Dark,Dragon,600,92,105,90,125,90,98,5,False
662,Fletchinder,Fire,Flying,382,62,73,55,56,52,84,6,False
415,Combee,Bug,Flying,244,30,30,42,30,42,70,4,False
292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,False
367,Huntail,Water,,485,55,104,105,94,75,52,3,False
161,Sentret,Normal,,215,35,46,34,35,45,20,2,False
181,AmpharosMega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,2,False
377,Regirock,Rock,,580,80,100,200,50,100,50,3,True
284,Masquerain,Bug,Flying,414,70,60,62,80,82,60,3,False
510,Liepard,Dark,,446,64,88,50,88,50,106,5,False
376,MetagrossMega Metagross,Steel,Psychic,700,80,145,150,105,110,110,3,False
